No,抽選日,当選数字,口数[ストレート],口数[ボックス],口数[セット・ストレート],口数[セット・ボックス],口数[ミニ],金額[ストレート],金額[ボックス],金額[セット・ストレート],金額[セット・ボックス],金額[ミニ],販売実績
1,1994/10/07,191,0,0,0,0,0,119800,39900,79800,19900,11900,0
2,1994/10/14,988,0,0,0,0,0,333500,111100,222300,55500,33300,0
3,1994/10/21,194,0,0,0,0,0,71700,11900,41800,5900,7100,0
4,1994/10/28,105,0,0,0,0,0,57200,9500,33300,4700,5700,0
5,1994/11/04,592,0,0,0,0,0,113400,18900,66100,9400,11300,0
6,1994/11/11,792,0,0,0,0,0,102600,17100,59800,8500,10200,0
7,1994/11/18,708,0,0,0,0,0,149100,24800,86900,12400,14900,0
8,1994/11/25,234,0,0,0,0,0,58200,9700,33900,4800,5800,0
9,1994/12/02,243,0,0,0,0,0,83600,13900,48700,6900,8300,0
10,1994/12/09,340,0,0,0,0,0,154600,25700,90100,12800,15400,0
11,1994/12/16,326,0,0,0,0,0,47500,7900,27700,3900,4700,0
12,1994/12/23,247,0,0,0,0,0,45800,7600,26700,3800,4500,0
13,1994/12/30,229,0,0,0,0,0,112700,37500,75100,18700,11200,0
14,1995/01/06,743,0,0,0,0,0,91400,15200,53300,7600,9100,0
15,1995/01/10,019,0,0,0,0,0,62000,10300,36100,5100,6200,0
16,1995/01/13,179,0,0,0,0,0,78900,13100,46000,6500,7800,0
17,1995/01/17,475,0,0,0,0,0,110900,18400,64600,9200,11000,0
18,1995/01/20,291,0,0,0,0,0,63400,10500,36900,5200,6300,0
19,1995/01/24,852,0,0,0,0,0,49300,8200,28700,4100,4900,0
20,1995/01/27,502,0,0,0,0,0,78800,13100,45900,6500,7800,0
21,1995/01/31,558,0,0,0,0,0,250100,83300,166700,41600,25000,0
22,1995/02/03,951,0,0,0,0,0,88000,14600,51300,7300,8800,0
23,1995/02/07,912,0,0,0,0,0,61900,10300,36100,5100,6100,0
24,1995/02/10,039,0,0,0,0,0,97600,16200,56900,8100,9700,0
25,1995/02/14,458,0,0,0,0,0,110700,18400,64500,9200,11000,0
26,1995/02/17,984,0,0,0,0,0,190100,31600,110800,15800,19000,0
27,1995/02/21,917,0,0,0,0,0,69500,11500,40500,5700,6900,0
28,1995/02/24,789,0,0,0,0,0,90300,15000,52600,7500,9000,0
29,1995/02/28,589,0,0,0,0,0,91500,15200,53300,7600,9100,0
30,1995/03/03,725,0,0,0,0,0,48300,8000,28100,4000,4800,0
31,1995/03/07,073,0,0,0,0,0,94600,15700,55100,7800,9400,0
32,1995/03/10,547,0,0,0,0,0,96000,16000,56000,8000,9600,0
33,1995/03/14,063,0,0,0,0,0,98700,16400,57500,8200,9800,0
34,1995/03/17,634,0,0,0,0,0,84500,14000,49200,7000,8400,0
35,1995/03/21,333,0,0,0,0,0,65500,0,0,0,6500,0
36,1995/03/24,405,0,0,0,0,0,97600,16200,56900,8100,9700,0
37,1995/03/28,168,0,0,0,0,0,86400,14400,50400,7200,8600,0
38,1995/03/31,389,0,0,0,0,0,103700,17200,60400,8600,10300,0
39,1995/04/04,587,0,0,0,0,0,116100,19300,67700,9600,11600,0
40,1995/04/07,304,0,0,0,0,0,102400,17000,59700,8500,10200,0
41,1995/04/11,048,0,0,0,0,0,82800,13800,48300,6900,8200,0
42,1995/04/14,228,0,0,0,0,0,69700,23200,46400,11600,6900,0
43,1995/04/18,922,0,0,0,0,0,111600,37200,74400,18600,11100,0
44,1995/04/21,697,0,0,0,0,0,199500,33200,116300,16600,19900,0
45,1995/04/25,970,0,0,0,0,0,186600,31100,108800,15500,18600,0
46,1995/04/28,298,0,0,0,0,0,73700,12200,42900,6100,7300,0
47,1995/05/02,989,0,0,0,0,0,110400,36800,73600,18400,11000,0
48,1995/05/05,202,0,0,0,0,0,137400,45800,91600,22900,13700,0
49,1995/05/09,476,0,0,0,0,0,118400,19700,69000,9800,11800,0
50,1995/05/12,042,0,0,0,0,0,95800,15900,55800,7900,9500,0
51,1995/05/16,802,0,0,0,0,0,86500,14400,50400,7200,8600,0
52,1995/05/19,717,0,0,0,0,0,106600,35500,71000,17700,10600,0
53,1995/05/23,889,0,0,0,0,0,120000,40000,80000,20000,12000,0
54,1995/05/26,226,0,0,0,0,0,61000,20300,40600,10100,6100,0
55,1995/05/30,728,0,0,0,0,0,66500,11000,38700,5500,6600,0
56,1995/06/02,929,0,0,0,0,0,70900,23600,47200,11800,7000,0
57,1995/06/06,836,0,0,0,0,0,105600,17600,61600,8800,10500,0
58,1995/06/09,383,0,0,0,0,0,131200,43700,87400,21800,13100,0
59,1995/06/13,410,0,0,0,0,0,81000,13500,47200,6700,8100,0
60,1995/06/16,980,0,0,0,0,0,109600,18200,63900,9100,10900,0
61,1995/06/20,542,0,0,0,0,0,99700,16600,58100,8300,9900,0
62,1995/06/23,725,0,0,0,0,0,57300,9500,33400,4700,5700,0
63,1995/06/27,251,0,0,0,0,0,68800,11400,40100,5700,6800,0
64,1995/06/30,260,0,0,0,0,0,122700,20400,71500,10200,12200,0
65,1995/07/04,588,0,0,0,0,0,149400,49800,99600,24900,14900,0
66,1995/07/07,512,0,0,0,0,0,61600,10200,35900,5100,6100,0
67,1995/07/11,512,0,0,0,0,0,48900,8100,28500,4000,4800,0
68,1995/07/14,750,0,0,0,0,0,144400,24000,84200,12000,14400,0
69,1995/07/18,902,0,0,0,0,0,69900,11600,40700,5800,6900,0
70,1995/07/21,963,0,0,0,0,0,97100,16100,56600,8000,9700,0
71,1995/07/25,661,0,0,0,0,0,145000,48300,96600,24100,14500,0
72,1995/07/28,879,0,0,0,0,0,120200,20000,70100,10000,12000,0
73,1995/08/01,452,0,0,0,0,0,89500,14900,52200,7400,8900,0
74,1995/08/04,174,0,0,0,0,0,78900,13100,46000,6500,7800,0
75,1995/08/08,283,0,0,0,0,0,86400,14400,50400,7200,8600,0
76,1995/08/11,238,0,0,0,0,0,55600,9200,32400,4600,5500,0
77,1995/08/15,972,0,0,0,0,0,78000,13000,45500,6500,7800,0
78,1995/08/18,241,0,0,0,0,0,77300,12800,45000,6400,7700,0
79,1995/08/22,310,0,0,0,0,0,67300,11200,39200,5600,6700,0
80,1995/08/25,882,0,0,0,0,0,85700,28500,57100,14200,8500,0
81,1995/08/29,269,0,0,0,0,0,83100,13800,48400,6900,8300,0
82,1995/09/01,144,0,0,0,0,0,161600,53800,107700,26900,16100,0
83,1995/09/05,174,0,0,0,0,0,65900,10900,38400,5400,6500,0
84,1995/09/08,882,0,0,0,0,0,81600,27200,54400,13600,8100,0
85,1995/09/12,307,0,0,0,0,0,92600,15400,54000,7700,9200,0
86,1995/09/15,864,0,0,0,0,0,123300,20500,71900,10200,12300,0
87,1995/09/19,370,0,0,0,0,0,108300,18000,63100,9000,10800,0
88,1995/09/22,739,0,0,0,0,0,139300,23200,81200,11600,13900,0
89,1995/09/26,697,0,0,0,0,0,147900,24600,86200,12300,14700,0
90,1995/09/29,689,0,0,0,0,0,69400,11500,40400,5700,6900,0
91,1995/10/03,168,0,0,0,0,0,87300,14500,50900,7200,8700,0
92,1995/10/06,957,0,0,0,0,0,121800,20300,71000,10100,12100,0
93,1995/10/10,910,0,0,0,0,0,63800,10600,37200,5300,6300,0
94,1995/10/13,933,0,0,0,0,0,196400,65400,130900,32700,19600,0
95,1995/10/17,306,0,0,0,0,0,85100,14100,49600,7000,8500,0
96,1995/10/20,944,0,0,0,0,0,201900,67300,134600,33600,20100,0
97,1995/10/24,988,0,0,0,0,0,52300,17400,34800,8700,5200,0
98,1995/10/27,562,0,0,0,0,0,96800,16100,56400,8000,9600,0
99,1995/10/31,571,0,0,0,0,0,99600,16600,58100,8300,9900,0
100,1995/11/03,899,0,0,0,0,0,92200,30700,61400,15300,9200,0
101,1995/11/07,945,0,0,0,0,0,123100,20500,71800,10200,12300,0
102,1995/11/10,560,0,0,0,0,0,179300,29800,104500,14900,17900,0
103,1995/11/14,824,0,0,0,0,0,69300,11500,40400,5700,6900,0
104,1995/11/17,610,0,0,0,0,0,98900,16400,57600,8200,9800,0
105,1995/11/21,619,0,0,0,0,0,86800,14400,50600,7200,8600,0
106,1995/11/24,086,0,0,0,0,0,139100,23100,81100,11500,13900,0
107,1995/11/28,082,0,0,0,0,0,77200,12800,45000,6400,7700,0
108,1995/12/01,254,0,0,0,0,0,92000,15000,52600,7500,9000,0
109,1995/12/05,191,0,0,0,0,0,153400,51100,102200,25500,15300,0
110,1995/12/08,385,0,0,0,0,0,71000,11600,40800,5800,7000,0
111,1995/12/12,056,0,0,0,0,0,141100,23500,82300,11700,14100,0
112,1995/12/15,167,0,0,0,0,0,100100,16600,58300,8300,10000,0
113,1995/12/19,744,0,0,0,0,0,191100,63700,127400,31800,19100,0
114,1995/12/22,205,0,0,0,0,0,91100,15100,53100,7500,9100,0
115,1995/12/26,770,0,0,0,0,0,215000,71600,143300,35800,21500,0
116,1995/12/29,366,0,0,0,0,0,129600,43200,86400,21600,12900,0
117,1996/01/05,952,0,0,0,0,0,76200,12700,44400,6300,7600,0
118,1996/01/09,635,0,0,0,0,0,87100,14500,50800,7200,8700,0
119,1996/01/12,952,0,0,0,0,0,70400,11700,41000,5800,7000,0
120,1996/01/16,650,0,0,0,0,0,119200,19800,69500,9900,11900,0
121,1996/01/19,439,0,0,0,0,0,123700,20600,72100,10300,12300,0
122,1996/01/23,458,0,0,0,0,0,97100,16100,56600,8000,9700,0
123,1996/01/26,513,0,0,0,0,0,64300,10700,37500,5300,6400,0
124,1996/01/30,863,0,0,0,0,0,76500,12700,44600,6300,7600,0
125,1996/02/02,409,0,0,0,0,0,110900,18400,64600,9200,11000,0
126,1996/02/06,318,0,0,0,0,0,56800,9400,33100,4700,5600,0
127,1996/02/09,217,0,0,0,0,0,57300,9500,33400,4700,5700,0
128,1996/02/13,855,0,0,0,0,0,140900,46900,93900,23400,14000,0
129,1996/02/16,620,0,0,0,0,0,87300,14500,50900,7200,8700,0
130,1996/02/20,559,0,0,0,0,0,151800,50600,101200,25300,15100,0
131,1996/02/23,820,0,0,0,0,0,86600,14400,50500,7200,8600,0
132,1996/02/27,016,0,0,0,0,0,137700,22900,80300,11400,13700,0
133,1996/03/01,926,0,0,0,0,0,65800,10900,38300,5400,6500,0
134,1996/03/05,603,0,0,0,0,0,79000,13100,46000,6500,7900,0
135,1996/03/08,454,0,0,0,0,0,157400,52400,104900,26200,15700,0
136,1996/03/12,295,0,0,0,0,0,77900,12900,45400,6400,7700,0
137,1996/03/15,819,0,0,0,0,0,79000,13100,46000,6500,7900,0
138,1996/03/19,995,0,0,0,0,0,179800,59900,119800,29900,17900,0
139,1996/03/22,356,0,0,0,0,0,72500,12000,42200,6000,7200,0
140,1996/03/26,054,0,0,0,0,0,133900,22300,78100,11100,13300,0
141,1996/03/29,783,0,0,0,0,0,111100,18500,64800,9200,11100,0
142,1996/04/02,077,0,0,0,0,0,158300,52700,105500,26300,15800,0
143,1996/04/05,694,0,0,0,0,0,117200,19500,68300,9700,11700,0
144,1996/04/09,594,0,0,0,0,0,100900,16800,58800,8400,10000,0
145,1996/04/12,125,0,0,0,0,0,53800,8900,31300,4400,5300,0
146,1996/04/16,766,0,0,0,0,0,166900,55600,111200,27800,16600,0
147,1996/04/19,464,0,0,0,0,0,135800,45200,90500,22600,13500,0
148,1996/04/23,489,0,0,0,0,0,85400,14200,49800,7100,8500,0
149,1996/04/26,003,0,0,0,0,0,201000,67000,134000,33500,20100,0
150,1996/04/30,538,0,0,0,0,0,68000,11300,39600,5600,6800,0
151,1996/05/03,332,0,0,0,0,0,97700,32500,65100,16200,9700,0
152,1996/05/07,224,0,0,0,0,0,65900,21900,43900,10900,6500,0
153,1996/05/10,750,0,0,0,0,0,128500,21400,74900,10700,12800,0
154,1996/05/14,791,0,0,0,0,0,126100,21000,73500,10500,12600,0
155,1996/05/17,126,0,0,0,0,0,66400,11000,38700,5500,6600,0
156,1996/05/21,991,0,0,0,0,0,110900,36900,73900,18400,11000,0
157,1996/05/24,570,0,0,0,0,0,128700,21400,75000,10700,12800,0
158,1996/05/28,604,0,0,0,0,0,110300,18300,64300,9100,11000,0
159,1996/05/31,259,0,0,0,0,0,48400,8000,28200,4000,4800,0
